id,lat,lon
206,38.83060225,-77.31007487
207,38.83073701,-77.30968863
208,38.83062001,-77.31034443
209,38.8325966,-77.31113836
210,38.83222573,-77.31129661
211,38.83194366,-77.31142536
212,38.83172532,-77.31142402
213,38.83153622,-77.31137305
214,38.83140981,-77.31132746
215,38.83165636,-77.31119603
216,38.83135862,-77.31157959
217,38.83130534,-77.31176466
218,38.83116953,-77.31125101
219,38.83077045,-77.31123894
220,38.83009555,-77.31060594
221,38.83000675,-77.31067702
222,38.82997332,-77.31048927
223,38.82992944,-77.31048122
224,38.82988765,-77.31025726
225,38.82995347,-77.30999306
226,38.8300663,-77.31006145
227,38.83013003,-77.30929971
228,38.8302251,-77.30892822
229,38.83032644,-77.30892554
230,38.83038285,-77.30895773
231,38.83035569,-77.30902612
232,38.8305124,-77.30905026
233,38.83049464,-77.30912402
234,38.83056046,-77.30916828
235,38.83058553,-77.30909184
236,38.83043613,-77.30882898
237,38.8305521,-77.30891615
238,38.83018122,-77.30889603
239,38.83015301,-77.3087512
240,38.83021465,-77.3086077
241,38.83034315,-77.30865598
242,38.83047061,-77.30852053
243,38.8303348,-77.30846018
244,38.83032853,-77.308373
245,38.83051658,-77.30832607
246,38.83042987,-77.30826035
247,38.83037032,-77.30828315
248,38.8299869,-77.30913207
249,38.82998272,-77.30920181
250,38.82979885,-77.31007487
251,38.82984482,-77.30988711
252,38.82993571,-77.30978251
253,38.83002138,-77.30957866
254,38.82991272,-77.30944455
255,38.82981556,-77.30975434
256,38.82975288,-77.30988041
257,38.82968079,-77.30985492
258,38.82972989,-77.3099649
259,38.82971318,-77.31015265
260,38.83226752,-77.31000379
261,38.83232602,-77.30974495
262,38.83242631,-77.30944589
263,38.83239601,-77.30955452
264,38.83232811,-77.30951697
265,38.83231348,-77.30941772
266,38.8322717,-77.30938822
267,38.83212544,-77.30974361
268,38.832162,-77.30978653
269,38.83212126,-77.30987906
270,38.83193321,-77.30973288
271,38.83179427,-77.30964169
272,38.83199798,-77.30915219
273,38.83175248,-77.30972484
274,38.83185068,-77.30977982
275,38.83162398,-77.30952099
276,38.83180053,-77.30937615
277,38.8314913,-77.30954647
278,38.83151846,-77.30946466
279,38.83140981,-77.30939895
280,38.83125624,-77.30930239
281,38.83122908,-77.30936542
282,38.83116013,-77.30932653
283,38.83116953,-77.30925009
284,38.83128863,-77.30907977
285,38.83133459,-77.30894163
286,38.83123639,-77.30886921
287,38.83118415,-77.30900735
288,38.83110789,-77.30921254
289,38.83095641,-77.30911061
290,38.83094805,-77.30905026
291,38.83100551,-77.30892956
292,38.83100133,-77.30884373
293,38.83084358,-77.30907843
294,38.83129803,-77.30864793
295,38.83086343,-77.30899528
296,38.83078507,-77.30894163
297,38.83079343,-77.30886653
298,38.83073701,-77.30902478
299,38.83077358,-77.30851784
300,38.83113505,-77.30843738
301,38.83115908,-77.30838776
302,38.83109535,-77.30852723
303,38.83099193,-77.30839044
304,38.83102849,-77.30850041
305,38.83105252,-77.30834082
306,38.83113192,-77.30828583
307,38.83133668,-77.30839178
308,38.83121654,-77.30810747
309,38.83122281,-77.30800152
310,38.83129803,-77.30807662
311,38.83149339,-77.30822548
312,38.83109744,-77.30778828
313,38.83093865,-77.30761528
314,38.83098043,-77.30747581
315,38.83112043,-77.30765417
316,38.83105983,-77.30753213
317,38.83118729,-77.30723307
318,38.83088223,-77.30743557
319,38.83098043,-77.30720088
320,38.83103058,-77.3072733
321,38.83106088,-77.30744094
322,38.83159368,-77.30823621
323,38.83174516,-77.30781376
324,38.83185486,-77.30755359
325,38.83165323,-77.30790362
326,38.83171069,-77.30793178
327,38.8318162,-77.30794922
328,38.8318559,-77.30817854
329,38.83187366,-77.3084414
330,38.83179218,-77.30861843
331,38.83190187,-77.30852857
332,38.83215678,-77.30866536
333,38.83199589,-77.30811417
334,38.83218081,-77.30772257
335,38.8322111,-77.30827108
336,38.83218499,-77.30882898
337,38.83217558,-77.30875656
338,38.83204604,-77.30880082
339,38.83194575,-77.30896175
340,38.83233124,-77.30927289
341,38.83239184,-77.30909586
342,38.83228423,-77.30879277
343,38.83233856,-77.308947
344,38.83230617,-77.30905697
345,38.8324681,-77.30893224
346,38.83254018,-77.30896711
347,38.83257257,-77.30888397
348,38.83280449,-77.30904758
349,38.83278569,-77.30912805
350,38.8326854,-77.30857015
351,38.83235318,-77.30816513
352,38.83145891,-77.30718479
